                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0089,                 4.8694,                 1.5157,                0.03568,                0.50518,                0.02514,                0.01101,                 1.9823,                 4.7256,                 1.4244,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.8953,                 4.4487,                 1.5825,                0.21122,                0.14323,                0.07432,                0.04263,                 2.0271,                 3.7958,                 1.4082,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                 1.7529,                 2.5917,                 1.4022,                 0.8731,                0.33241,                0.34186,                0.13701,                 1.6559,                 2.3529,                 1.2167,             0.00013205,             0.00013205,             0.00013205
                      4,                 1.6599,                 1.6095,                 1.2819,                0.50309,                0.38581,                0.34828,                0.17009,                 1.5863,                 2.0751,                 1.2281,             0.00017636,             0.00017636,             0.00017636
                      5,                 2.0131,                 1.6664,                 1.6726,                0.89118,                0.35823,                0.40438,                0.20097,                 1.6078,                 1.8862,                 1.2913,             0.00021869,             0.00021869,             0.00021869
                      6,                 1.7293,                 1.3896,                 1.3248,                0.85349,                0.32132,                0.37742,                0.17246,                 1.7518,                 1.7168,                 1.3548,             0.00025904,             0.00025904,             0.00025904
                      7,                  1.567,                 1.2705,                 1.2276,                0.56489,                0.51326,                0.41454,                0.21538,                 1.6518,                 1.8815,                 1.2738,              0.0002974,              0.0002974,              0.0002974
                      8,                 1.4827,                 1.3385,                 1.2191,                0.59708,                0.48416,                0.47851,                0.23104,                 1.6754,                 1.9608,                  1.274,             0.00033379,             0.00033379,             0.00033379
                      9,                 1.5188,                 1.2551,                 1.2527,                0.35139,                  0.639,                0.48022,                0.25516,                 1.5462,                 1.6397,                 1.2684,              0.0003682,              0.0003682,              0.0003682
                     10,                 1.4336,                 1.0948,                 1.1442,                0.44381,                0.62814,                0.55034,                0.29712,                 1.5176,                 1.6535,                 1.2854,             0.00040063,             0.00040063,             0.00040063
                     11,                 1.3512,                 1.2039,                 1.1974,                0.70348,                0.51589,                0.53612,                0.28307,                 1.5729,                 1.4874,                 1.2932,             0.00043108,             0.00043108,             0.00043108
                     12,                 1.4253,                 1.0152,                 1.1631,                0.71767,                0.47546,                0.51034,                0.26564,                 1.5596,                 1.5169,                 1.3123,             0.00045954,             0.00045954,             0.00045954
                     13,                 1.5275,                 1.1254,                 1.2088,                0.42014,                0.65378,                0.54647,                0.28523,                 1.5289,                 1.3705,                 1.3234,             0.00048603,             0.00048603,             0.00048603
                     14,                 1.8527,                 1.8711,                 1.3794,                0.47555,                0.62231,                0.57999,                0.29623,                 1.5403,                 1.3699,                 1.3005,             0.00051054,             0.00051054,             0.00051054
                     15,                 1.5296,                  1.046,                 1.1911,                0.62048,                   0.54,                0.53345,                0.26387,                 1.5638,                 1.2867,                 1.2859,             0.00053306,             0.00053306,             0.00053306
                     16,                 1.6159,                 1.2828,                 1.2421,                0.53073,                0.53843,                0.53713,                0.27792,                 1.5366,                 1.3671,                 1.2767,             0.00055361,             0.00055361,             0.00055361
                     17,                 1.3463,                 1.0897,                 1.1662,                0.46889,                0.51725,                 0.5553,                0.29533,                 1.5054,                   1.41,                 1.2604,             0.00057218,             0.00057218,             0.00057218
                     18,                 1.6229,                 1.1132,                 1.3568,                0.38549,                0.58765,                0.49541,                0.25652,                 1.5761,                 1.2379,                  1.303,             0.00058877,             0.00058877,             0.00058877
                     19,                 1.5177,                  1.004,                 1.1764,                0.40194,                0.52934,                0.45384,                0.23277,                  1.603,                 1.2065,                 1.2863,             0.00060338,             0.00060338,             0.00060338
                     20,                 1.2986,                0.90651,                 1.1144,                0.33883,                0.52398,                0.46318,                 0.2374,                 1.6084,                 1.2335,                 1.2898,               0.000616,               0.000616,               0.000616
                     21,                 1.4069,                 1.0166,                 1.2408,                0.41099,                0.45723,                 0.4693,                 0.2403,                 1.5729,                 1.3569,                 1.2668,             0.00062665,             0.00062665,             0.00062665
                     22,                 1.4913,                0.96015,                 1.1236,                0.44828,                0.47154,                 0.4821,                0.24066,                 1.6006,                 1.2312,                 1.2947,             0.00063532,             0.00063532,             0.00063532
                     23,                 1.4149,                 1.2845,                 1.1927,                0.45762,                0.49029,                0.48859,                0.23304,                 1.6358,                 1.2657,                 1.3224,             0.00064201,             0.00064201,             0.00064201
                     24,                 1.2772,                0.82474,                 1.1116,                0.48958,                0.49559,                0.53826,                 0.2616,                 1.6329,                  1.355,                 1.3242,             0.00064671,             0.00064671,             0.00064671
                     25,                 1.5245,                0.97244,                 1.1564,                0.83632,                0.45475,                0.56999,                 0.2732,                 1.6461,                 1.3988,                 1.3403,             0.00064944,             0.00064944,             0.00064944
                     26,                 1.3452,                0.88428,                 1.1335,                0.79652,                0.50419,                0.57248,                0.27443,                 1.6637,                 1.3563,                 1.3542,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.4786,                0.96761,                 1.2057,                0.46145,                0.57201,                0.56146,                0.27721,                 1.6263,                  1.403,                 1.3343,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.3712,                0.83943,                  1.119,                0.63607,                0.52787,                0.57453,                0.28437,                 1.6403,                 1.3997,                  1.357,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2882,                0.79798,                 1.0804,                0.70381,                0.49872,                0.58084,                0.27543,                 1.6872,                 1.3945,                 1.4075,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.3246,                0.92618,                  1.214,                0.58187,                0.55428,                0.58697,                0.26216,                 1.7339,                 1.3469,                 1.4372,               0.000557,               0.000557,               0.000557
                     31,                 1.2805,                0.79515,                 1.1074,                0.62306,                0.64435,                0.62417,                0.28293,                 1.7376,                  1.233,                 1.4099,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.2744,                0.81904,                 1.1179,                0.67633,                0.64297,                 0.6558,                0.31436,                 1.7646,                 1.2607,                  1.428,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.6133,                0.98726,                 1.2354,                0.69225,                0.61304,                 0.6378,                 0.3212,                 1.7551,                 1.2572,                 1.4184,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.3219,                 0.8206,                 1.0947,                0.75709,                0.59514,                 0.6629,                0.35702,                 1.6626,                 1.2186,                 1.3726,               0.000458,               0.000458,               0.000458
                     35,                 1.4349,                0.81342,                 1.1622,                0.80978,                0.60099,                0.67425,                0.37871,                 1.5922,                  1.163,                 1.3321,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.4438,                 1.0352,                 1.2289,                 0.8079,                 0.6072,                0.68202,                0.37287,                 1.5805,                 1.1283,                 1.3051,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.2256,                0.74604,                 1.1285,                 0.7915,                0.61154,                0.68457,                0.39083,                 1.5797,                  1.088,                 1.2846,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1742,                0.71861,                 1.0483,                0.86955,                0.57249,                0.68232,                0.39564,                 1.5707,                 1.0973,                 1.2805,               0.000359,               0.000359,               0.000359
                     39,                 1.2793,                0.72752,                 1.1056,                0.86338,                0.58697,                0.69032,                    0.4,                 1.5107,                 1.0721,                 1.2646,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1071,                0.94833,                 1.1201,                0.75073,                0.60538,                0.68215,                0.40009,                 1.4966,                 1.0659,                 1.2698,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.2136,                0.70182,                 1.0868,                0.87464,                0.60091,                0.68267,                0.40286,                 1.5339,                 1.0714,                 1.2724,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0901,                0.68617,                 1.0562,                0.82166,                0.60432,                0.68278,                0.38682,                 1.6155,                 1.0777,                 1.2956,                0.00026,                0.00026,                0.00026
                     43,                 1.1393,                 0.6533,                 1.0427,                0.74705,                 0.6227,                0.67865,                0.38588,                 1.6641,                 1.0947,                 1.3104,             0.00023525,             0.00023525,             0.00023525
